feature,p_value,method
Extra-Nuclear,0.14233593957163815,Talairach Gyrus
Caudate,0.1285884501359205,Talairach Gyrus
Third Ventricle,0.6056838135191684,Talairach Gyrus
Anterior Cingulate,0.22463002616232167,Talairach Gyrus
Lentiform Nucleus,0.0922127979909782,Talairach Gyrus
Thalamus,0.2902754766662204,Talairach Gyrus
Insula,0.21574090765090365,Talairach Gyrus
Claustrum,0.22227649976646774,Talairach Gyrus
Cuneus,0.3887511613962965,Talairach Gyrus
Posterior Cingulate,0.08140520597524889,Talairach Gyrus
Precentral Gyrus,0.5349683814895398,Talairach Gyrus
Transverse Temporal Gyrus,0.34218340626969646,Talairach Gyrus
Postcentral Gyrus,0.6118626442831536,Talairach Gyrus
Precuneus,0.013513743569794559,Talairach Gyrus
Superior Occipital Gyrus,0.5389452582456873,Talairach Gyrus
Supramarginal Gyrus,0.14234414541465404,Talairach Gyrus
Inferior Parietal Lobule,0.10227542946118547,Talairach Gyrus
Cingulate Gyrus,0.3022474268504752,Talairach Gyrus
Angular Gyrus,1.679444091921323e-05,Talairach Gyrus
Superior Parietal Lobule,0.038057537539550504,Talairach Gyrus
Paracentral Lobule,0.17332562447999894,Talairach Gyrus
Gray Matter,0.11359396962135597,Talairach Tissue
White Matter,0.05520185441258428,Talairach Tissue
Cerebro-Spinal Fluid,0.42446505713224625,Talairach Tissue
Brodmann area 20,0.05816977817217564,Talairach Ba
Brodmann area 38,0.15960217767143964,Talairach Ba
Brodmann area 36,0.43219912407655603,Talairach Ba
Brodmann area 21,0.23208101459192015,Talairach Ba
Brodmann area 28,0.19411257810458246,Talairach Ba
Brodmann area 11,0.020328378473746404,Talairach Ba
Dentate,0.22723004884106993,Talairach Ba
Brodmann area 35,0.312064189785627,Talairach Ba
Brodmann area 47,0.09183189064613519,Talairach Ba
Hippocampus,0.2395805349779397,Talairach Ba
Brodmann area 34,0.32328018762429794,Talairach Ba
Amygdala,0.626742241269358,Talairach Ba
Brodmann area 18,0.7984044669055239,Talairach Ba
Brodmann area 37,0.2895178233890422,Talairach Ba
Brodmann area 25,0.0005863112658928692,Talairach Ba
Brodmann area 17,0.5854900053947215,Talairach Ba
Brodmann area 19,0.41192888232319635,Talairach Ba
Optic Tract,0.8144022502690039,Talairach Ba
Hypothalamus,0.11505538459509088,Talairach Ba
Brodmann area 13,0.15147481068818747,Talairach Ba
Substania Nigra,0.25331828934749934,Talairach Ba
Red Nucleus,0.26558983955867865,Talairach Ba
Caudate Tail,0.5531156519678035,Talairach Ba
Mammillary Body,0.35647042249730543,Talairach Ba
Putamen,0.09951419885896504,Talairach Ba
Brodmann area 32,0.7124678988267359,Talairach Ba
Brodmann area 10,0.4053241090791607,Talairach Ba
Brodmann area 30,0.24319620230632547,Talairach Ba
Brodmann area 27,0.22554201747706257,Talairach Ba
Medial Geniculum Body,0.006392877382828313,Talairach Ba
Brodmann area 22,0.42942894525838926,Talairach Ba
Lateral Globus Pallidus,0.1221622510011737,Talairach Ba
Subthalamic Nucleus,0.26979898289761395,Talairach Ba
Medial Globus Pallidus,0.1379485122074808,Talairach Ba
Caudate Head,0.3375528993002271,Talairach Ba
Brodmann area 24,0.716546841062617,Talairach Ba
Lateral Geniculum Body,0.2383533715364093,Talairach Ba
Anterior Commissure,0.3863694849870235,Talairach Ba
Corpus Callosum,0.0928708726663149,Talairach Ba
Ventral Posterior Lateral Nucleus,0.0028444759816609023,Talairach Ba
Ventral Posterior Medial Nucleus,0.0065243889028788905,Talairach Ba
Brodmann area 45,0.014771935895969927,Talairach Ba
Brodmann area 46,0.1476440545041756,Talairach Ba
Pulvinar,0.18632114603727035,Talairach Ba
Medial Dorsal Nucleus,0.7614660030856757,Talairach Ba
Ventral Lateral Nucleus,0.07485632252707702,Talairach Ba
Ventral Anterior Nucleus,0.4613480404657787,Talairach Ba
Brodmann area 29,0.1273829576449198,Talairach Ba
Brodmann area 41,0.5433260384785954,Talairach Ba
Brodmann area 42,0.3530077362608581,Talairach Ba
Brodmann area 6,0.459244331409127,Talairach Ba
Anterior Nucleus,0.6649402078937983,Talairach Ba
Brodmann area 44,0.033672892328752,Talairach Ba
Caudate Body,0.06474082604227262,Talairach Ba
Brodmann area 39,0.000607653769798566,Talairach Ba
Brodmann area 23,0.01495729231102135,Talairach Ba
Lateral Posterior Nucleus,0.05769096302421479,Talairach Ba
Brodmann area 43,0.10938698646044176,Talairach Ba
Brodmann area 31,0.005461376872991747,Talairach Ba
Brodmann area 40,0.12495375148197752,Talairach Ba
Lateral Dorsal Nucleus,0.22708672682819342,Talairach Ba
Midline Nucleus,0.33880945003645824,Talairach Ba
Brodmann area 4,0.4231780230143548,Talairach Ba
Brodmann area 9,0.3136045145972994,Talairach Ba
Brodmann area 33,0.07227449604746061,Talairach Ba
Brodmann area 2,0.9251523729586792,Talairach Ba
Brodmann area 1,0.9020232301411772,Talairach Ba
Brodmann area 3,0.488287110876369,Talairach Ba
Brodmann area 7,0.020925804269354985,Talairach Ba
Brodmann area 8,0.16685178972494003,Talairach Ba
Brodmann area 5,0.2727756500103239,Talairach Ba
b'7Networks_LH_Vis_1',0.730878730524618,Schaefer 100 x 7 x 1
b'7Networks_LH_Vis_2',0.9292014552156593,Schaefer 100 x 7 x 1
b'7Networks_LH_Vis_3',0.9960737586866897,Schaefer 100 x 7 x 1
b'7Networks_LH_Vis_4',0.49967871609284464,Schaefer 100 x 7 x 1
b'7Networks_LH_Vis_5',0.7135840347336331,Schaefer 100 x 7 x 1
b'7Networks_LH_Vis_6',0.5188830842587294,Schaefer 100 x 7 x 1
b'7Networks_LH_Vis_7',0.017543219389272037,Schaefer 100 x 7 x 1
b'7Networks_LH_Vis_8',0.7162063372321004,Schaefer 100 x 7 x 1
b'7Networks_LH_Vis_9',0.04294860168450689,Schaefer 100 x 7 x 1
b'7Networks_LH_SomMot_1',0.30347012508386706,Schaefer 100 x 7 x 1
b'7Networks_LH_SomMot_2',0.3105074114907249,Schaefer 100 x 7 x 1
b'7Networks_LH_SomMot_3',0.14596561975795766,Schaefer 100 x 7 x 1
b'7Networks_LH_SomMot_4',0.6554231070932435,Schaefer 100 x 7 x 1
b'7Networks_LH_SomMot_5',0.5475501249737846,Schaefer 100 x 7 x 1
b'7Networks_LH_SomMot_6',0.4918114310602224,Schaefer 100 x 7 x 1
b'7Networks_LH_DorsAttn_Post_1',0.11400637361007138,Schaefer 100 x 7 x 1
b'7Networks_LH_DorsAttn_Post_2',0.48081941748266877,Schaefer 100 x 7 x 1
b'7Networks_LH_DorsAttn_Post_3',0.5674730584616463,Schaefer 100 x 7 x 1
b'7Networks_LH_DorsAttn_Post_4',0.22762540943672893,Schaefer 100 x 7 x 1
b'7Networks_LH_DorsAttn_Post_5',0.13642308496034292,Schaefer 100 x 7 x 1
b'7Networks_LH_DorsAttn_Post_6',0.3645134588490948,Schaefer 100 x 7 x 1
b'7Networks_LH_DorsAttn_PrCv_1',0.04760429659177812,Schaefer 100 x 7 x 1
b'7Networks_LH_DorsAttn_FEF_1',0.2823185610764289,Schaefer 100 x 7 x 1
b'7Networks_LH_SalVentAttn_ParOper_1',0.15305993662269435,Schaefer 100 x 7 x 1
b'7Networks_LH_SalVentAttn_FrOperIns_1',0.04705370376599461,Schaefer 100 x 7 x 1
b'7Networks_LH_SalVentAttn_FrOperIns_2',0.31780833277419945,Schaefer 100 x 7 x 1
b'7Networks_LH_SalVentAttn_PFCl_1',0.44966198996175233,Schaefer 100 x 7 x 1
b'7Networks_LH_SalVentAttn_Med_1',0.9000744533499985,Schaefer 100 x 7 x 1
b'7Networks_LH_SalVentAttn_Med_2',0.38705467700838514,Schaefer 100 x 7 x 1
b'7Networks_LH_SalVentAttn_Med_3',0.6618655732215881,Schaefer 100 x 7 x 1
b'7Networks_LH_Limbic_OFC_1',0.0066836960347510365,Schaefer 100 x 7 x 1
b'7Networks_LH_Limbic_TempPole_1',0.08655682731847456,Schaefer 100 x 7 x 1
b'7Networks_LH_Limbic_TempPole_2',0.4242197613868419,Schaefer 100 x 7 x 1
b'7Networks_LH_Cont_Par_1',0.13934302188000036,Schaefer 100 x 7 x 1
b'7Networks_LH_Cont_PFCl_1',0.20113976233766137,Schaefer 100 x 7 x 1
b'7Networks_LH_Cont_pCun_1',0.051404574579586915,Schaefer 100 x 7 x 1
b'7Networks_LH_Cont_Cing_1',0.05408598936892413,Schaefer 100 x 7 x 1
b'7Networks_LH_Default_Temp_1',0.12905771615625083,Schaefer 100 x 7 x 1
b'7Networks_LH_Default_Temp_2',0.8203310466599217,Schaefer 100 x 7 x 1
b'7Networks_LH_Default_Par_1',0.8108263300004853,Schaefer 100 x 7 x 1
b'7Networks_LH_Default_Par_2',0.024479381575166312,Schaefer 100 x 7 x 1
b'7Networks_LH_Default_PFC_1',0.04163366649524263,Schaefer 100 x 7 x 1
b'7Networks_LH_Default_PFC_2',0.12954552158412974,Schaefer 100 x 7 x 1
b'7Networks_LH_Default_PFC_3',0.21291177534427905,Schaefer 100 x 7 x 1
b'7Networks_LH_Default_PFC_4',0.34844688793282225,Schaefer 100 x 7 x 1
b'7Networks_LH_Default_PFC_5',0.029156736016011466,Schaefer 100 x 7 x 1
b'7Networks_LH_Default_PFC_6',0.08164481557811926,Schaefer 100 x 7 x 1
b'7Networks_LH_Default_PFC_7',0.0930373448172242,Schaefer 100 x 7 x 1
b'7Networks_LH_Default_pCunPCC_1',0.20154937691136923,Schaefer 100 x 7 x 1
b'7Networks_LH_Default_pCunPCC_2',0.04163719006457608,Schaefer 100 x 7 x 1
b'7Networks_RH_Vis_1',0.7365916785420761,Schaefer 100 x 7 x 1
b'7Networks_RH_Vis_2',0.9687240492076192,Schaefer 100 x 7 x 1
b'7Networks_RH_Vis_3',0.2693063408905285,Schaefer 100 x 7 x 1
b'7Networks_RH_Vis_4',0.8064701877487865,Schaefer 100 x 7 x 1
b'7Networks_RH_Vis_5',0.4978268568894961,Schaefer 100 x 7 x 1
b'7Networks_RH_Vis_6',0.058503263630948044,Schaefer 100 x 7 x 1
b'7Networks_RH_Vis_7',0.8843410125740274,Schaefer 100 x 7 x 1
b'7Networks_RH_Vis_8',0.2650392611651509,Schaefer 100 x 7 x 1
b'7Networks_RH_SomMot_1',0.518692794048508,Schaefer 100 x 7 x 1
b'7Networks_RH_SomMot_2',0.26530959495029244,Schaefer 100 x 7 x 1
b'7Networks_RH_SomMot_3',0.5846000281138799,Schaefer 100 x 7 x 1
b'7Networks_RH_SomMot_4',0.7704977953118703,Schaefer 100 x 7 x 1
b'7Networks_RH_SomMot_5',0.21481726542860805,Schaefer 100 x 7 x 1
b'7Networks_RH_SomMot_6',0.3175057219722782,Schaefer 100 x 7 x 1
b'7Networks_RH_SomMot_7',0.549205453985306,Schaefer 100 x 7 x 1
b'7Networks_RH_SomMot_8',0.3052862857039014,Schaefer 100 x 7 x 1
b'7Networks_RH_DorsAttn_Post_1',0.0003861242413090187,Schaefer 100 x 7 x 1
b'7Networks_RH_DorsAttn_Post_2',0.8350211175322911,Schaefer 100 x 7 x 1
b'7Networks_RH_DorsAttn_Post_3',0.06385521523326432,Schaefer 100 x 7 x 1
b'7Networks_RH_DorsAttn_Post_4',0.0527869557680596,Schaefer 100 x 7 x 1
b'7Networks_RH_DorsAttn_Post_5',0.6257537504529262,Schaefer 100 x 7 x 1
b'7Networks_RH_DorsAttn_PrCv_1',0.10258209130950699,Schaefer 100 x 7 x 1
b'7Networks_RH_DorsAttn_FEF_1',0.28334548575851926,Schaefer 100 x 7 x 1
b'7Networks_RH_SalVentAttn_TempOccPar_1',0.01580789573131087,Schaefer 100 x 7 x 1
b'7Networks_RH_SalVentAttn_TempOccPar_2',0.827383563306581,Schaefer 100 x 7 x 1
b'7Networks_RH_SalVentAttn_FrOperIns_1',0.4588212425717928,Schaefer 100 x 7 x 1
b'7Networks_RH_SalVentAttn_Med_1',0.13230959995592317,Schaefer 100 x 7 x 1
b'7Networks_RH_SalVentAttn_Med_2',0.647106800140758,Schaefer 100 x 7 x 1
b'7Networks_RH_Limbic_OFC_1',0.060817849037867036,Schaefer 100 x 7 x 1
b'7Networks_RH_Limbic_TempPole_1',0.006832855213912054,Schaefer 100 x 7 x 1
b'7Networks_RH_Cont_Par_1',0.08330348657308416,Schaefer 100 x 7 x 1
b'7Networks_RH_Cont_Par_2',0.009432676718020538,Schaefer 100 x 7 x 1
b'7Networks_RH_Cont_PFCl_1',0.17145568396774258,Schaefer 100 x 7 x 1
b'7Networks_RH_Cont_PFCl_2',0.28881239367247585,Schaefer 100 x 7 x 1
b'7Networks_RH_Cont_PFCl_3',0.809689063069028,Schaefer 100 x 7 x 1
b'7Networks_RH_Cont_PFCl_4',0.1423858782409235,Schaefer 100 x 7 x 1
b'7Networks_RH_Cont_Cing_1',0.01165238640399582,Schaefer 100 x 7 x 1
b'7Networks_RH_Cont_PFCmp_1',0.2985831467988698,Schaefer 100 x 7 x 1
b'7Networks_RH_Cont_pCun_1',0.0026997816235773964,Schaefer 100 x 7 x 1
b'7Networks_RH_Default_Par_1',0.002948623520273642,Schaefer 100 x 7 x 1
b'7Networks_RH_Default_Temp_1',0.26686791395601084,Schaefer 100 x 7 x 1
b'7Networks_RH_Default_Temp_2',0.3660891143488593,Schaefer 100 x 7 x 1
b'7Networks_RH_Default_Temp_3',0.08755794299861808,Schaefer 100 x 7 x 1
b'7Networks_RH_Default_PFCv_1',0.06275206383620612,Schaefer 100 x 7 x 1
b'7Networks_RH_Default_PFCv_2',0.02249403770257411,Schaefer 100 x 7 x 1
b'7Networks_RH_Default_PFCdPFCm_1',0.2581538274858403,Schaefer 100 x 7 x 1
b'7Networks_RH_Default_PFCdPFCm_2',0.006642336583765325,Schaefer 100 x 7 x 1
b'7Networks_RH_Default_PFCdPFCm_3',0.016283871459166772,Schaefer 100 x 7 x 1
b'7Networks_RH_Default_pCunPCC_1',0.08169511446771782,Schaefer 100 x 7 x 1
b'7Networks_RH_Default_pCunPCC_2',0.011774514179368326,Schaefer 100 x 7 x 1
Left Cerebellum,0.6019921748957672,Talairach Hemi x Lobe x Tissue
Right Cerebellum,0.17731153720433798,Talairach Hemi x Lobe x Tissue
Left Brainstem,0.07153399513000822,Talairach Hemi x Lobe x Tissue
Right Brainstem,0.03634275466326769,Talairach Hemi x Lobe x Tissue
Left Cerebrum,0.039534135367209136,Talairach Hemi x Lobe x Tissue
Right Cerebrum,0.10412713395316883,Talairach Hemi x Lobe x Tissue
Inter-Hemispheric,0.010265257603318565,Talairach Hemi x Lobe x Tissue
Posterior Lobe,0.4104978573124617,Talairach Hemi x Lobe x Tissue
Medulla,0.07548054460622507,Talairach Hemi x Lobe x Tissue
Temporal Lobe,0.17826741214370923,Talairach Hemi x Lobe x Tissue
Limbic Lobe,0.11763742275990806,Talairach Hemi x Lobe x Tissue
Frontal Lobe,0.1831640675474947,Talairach Hemi x Lobe x Tissue
Sub-lobar,0.1455149642110133,Talairach Hemi x Lobe x Tissue
Pons,0.006093112958776178,Talairach Hemi x Lobe x Tissue
Anterior Lobe,0.3230096811170828,Talairach Hemi x Lobe x Tissue
Occipital Lobe,0.7448824119458937,Talairach Hemi x Lobe x Tissue
Midbrain,0.6082086883965255,Talairach Hemi x Lobe x Tissue
Frontal-Temporal Space,0.5027042399806565,Talairach Hemi x Lobe x Tissue
Parietal Lobe,0.041868492306951686,Talairach Hemi x Lobe x Tissue
Gray Matter,0.11359396962135597,Talairach Hemi x Lobe x Tissue
White Matter,0.05520185441258428,Talairach Hemi x Lobe x Tissue
Cerebro-Spinal Fluid,0.42446505713224625,Talairach Hemi x Lobe x Tissue
